Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura-dp,Chrome 103.0.5060.134,,,2022-07-29 09:10:20,2022-07-29 09:13:05,2m - 45.100s,PASSED
,,,,,,,
Test Cases/cura-dropdown,Chrome 103.0.5060.134,,,2022-07-29 09:10:21,2022-07-29 09:10:48,27.052s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-29 09:10:21,2022-07-29 09:10:27,5.579s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:27,2022-07-29 09:10:31,4.346s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:31,2022-07-29 09:10:33,1.732s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:33,2022-07-29 09:10:34,1.094s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 103.0.5060.134,,,2022-07-29 09:10:34,2022-07-29 09:10:35,0.579s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:35,2022-07-29 09:10:35,0.615s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:35,2022-07-29 09:10:36,0.651s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:36,2022-07-29 09:10:37,1.414s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 103.0.5060.134,,,2022-07-29 09:10:37,2022-07-29 09:10:39,1.313s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:39,2022-07-29 09:10:39,0.423s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), index, STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-29 09:10:39,2022-07-29 09:10:40,0.962s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:40,2022-07-29 09:10:41,0.390s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:41,2022-07-29 09:10:41,0.372s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Tokyo CURA Healthcare Center"", true)",Chrome 103.0.5060.134,,,2022-07-29 09:10:41,2022-07-29 09:10:42,1.128s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:42,2022-07-29 09:10:43,0.641s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/td_28""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:43,2022-07-29 09:10:43,0.609s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/textarea_Comment_comment""), ""asasasa"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:43,2022-07-29 09:10:44,1.097s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:44,2022-07-29 09:10:47,2.520s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-29 09:10:47,2022-07-29 09:10:48,0.970s,PASSED
,,,,,,,
Test Cases/cura-dropdown,Chrome 103.0.5060.134,,,2022-07-29 09:10:48,2022-07-29 09:11:09,21.311s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-29 09:10:48,2022-07-29 09:10:50,2.430s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:50,2022-07-29 09:10:54,3.540s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:54,2022-07-29 09:10:55,1.471s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:55,2022-07-29 09:10:57,1.265s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 103.0.5060.134,,,2022-07-29 09:10:57,2022-07-29 09:10:57,0.724s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:57,2022-07-29 09:10:58,0.618s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 103.0.5060.134,,,2022-07-29 09:10:58,2022-07-29 09:10:59,0.777s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.134,,,2022-07-29 09:10:59,2022-07-29 09:11:00,1.230s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 103.0.5060.134,,,2022-07-29 09:11:00,2022-07-29 09:11:01,1.385s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:01,2022-07-29 09:11:02,0.444s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), index, STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-29 09:11:02,2022-07-29 09:11:03,1.043s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:03,2022-07-29 09:11:03,0.436s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:03,2022-07-29 09:11:04,0.459s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Tokyo CURA Healthcare Center"", true)",Chrome 103.0.5060.134,,,2022-07-29 09:11:04,2022-07-29 09:11:05,1.068s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:05,2022-07-29 09:11:05,0.446s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/td_28""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:05,2022-07-29 09:11:06,0.626s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/textarea_Comment_comment""), ""asasasa"")",Chrome 103.0.5060.134,,,2022-07-29 09:11:06,2022-07-29 09:11:07,0.925s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:07,2022-07-29 09:11:08,1.250s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-29 09:11:08,2022-07-29 09:11:09,1.104s,PASSED
,,,,,,,
Test Cases/cura-dropdown,Chrome 103.0.5060.134,,,2022-07-29 09:11:09,2022-07-29 09:11:59,49.456s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-07-29 09:11:09,2022-07-29 09:11:11,1.960s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 103.0.5060.134,,,2022-07-29 09:11:11,2022-07-29 09:11:16,4.416s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:16,2022-07-29 09:11:17,1.523s,PASSED
"setText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 103.0.5060.134,,,2022-07-29 09:11:17,2022-07-29 09:11:18,0.990s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 103.0.5060.134,,,2022-07-29 09:11:18,2022-07-29 09:11:19,0.631s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:19,2022-07-29 09:11:20,0.582s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 103.0.5060.134,,,2022-07-29 09:11:20,2022-07-29 09:11:20,0.648s,PASSED
"click(findTestObject(""Object Repository/Cura/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.134,,,2022-07-29 09:11:20,2022-07-29 09:11:23,3.224s,PASSED
